predicted_answer,actual_answer,사고원인,인적사고
신호체계 강화 및 정기적인 의사소통 훈련 실시.,"장비 및 작업자 간 신호체계 재점검과 특별안전교육 실시, 작업자 및 관리자 안전교육 철저 시행, 터널장비 작업 위험성 평가 후 장비운전원 특별교육 실시, 터널현장 내 신호체계 재점검 후 교육 실시.",백호 운전자와 작업자 사이의 신호체계에 따른 의사 전달 미흡으로 사고 발생,"절단, 베임"
안전교육 강화 및 사다리 사용 금지 지침 마련.,작업 전 작업자에게 무재해 안전시공 재인식 교육 및 해당 작업 시 비계 사용 지시 실시.,구조물 외부 벽체 방수시트 작업중 작업자가 이동식비계가 있음에도 사다리를 사용하다가 무게 중심을 잃고 사다리가 기울어지면서 구조물 벽체에 어깨 부딪힘,부딪힘
"항공마대 인양고리의 정기 점검과 유지보수를 강화하고, 작업자들에게 안전한 인양 방법 교육을 실시하여 무리한 동작을 방지합니다.","지게차 작업구간 접근금지 및 항공마대 인양고리의 손상과 오염 방지를 위한 구조물 활용, 신호수 배치 및 출입금지 조치를 통한 장비작업구간 관리 철저, 단순 및 반복작업에 대한 사전계획 수립과 위험성 전파, 지속적인 특별안전교육 실시를 통한 사고사례 전파 및 경각심 제고.",항공마대 인양고리가 사용 불가하여 무리한 동작으로 인양물을 양중하려다 손가락 협착(작업자의 무리한 동작),끼임
안전 교육 강화 및 정기적인 안전 점검 실시로 부주의 사고 예방.,안전사고 예방을 위한 교육 실시와 안전관리 감독 강화.,작업자 부주의에 의한 사고,물체에 맞음
천공기 작업 시 고압전선과의 최소 안전거리 확보 및 작업 전 철저한 안전 점검 실시. 추가로 작업자들에게 고압전선 접촉 위험에 대한 교육 강화 및 안전장비 착용 의무화.,향후 작업 시 고압선 보호공 설치와 안전대책 강구 후 현장 작업 중지에 대한 계획.,천공 작업 중 천공기 인발 과정에 천공기 상부와 고압전선이 접촉되면서 지상에 설치된 유압호스로 전류가 흘러 작업자가 감전됨,감전
안전 교육 강화와 철근 운반 시 안전 간격 유지 지침 마련을 통한 재발 방지 대책 및 향후 조치 계획 수립.,철근 자재의 단단한 결속과 안전수칙 준수를 통한 사고 예방 및 신속한 신고 체계 구축.,철근 하역 작업 시 묶음 철근 사이에 틈이 발생하여 손가락이 철근 사이에 협착되어 발생된 재해임,"절단, 베임"
"작업 시 미끄러운 표면에 미끄럼 방지 장치 설치하고, 우천 시 작업 중지 지침 엄격히 준수하며 정기적인 안전 점검 실시.","철골작업안전수칙 준수, 임시 및 간헐적 작업 관리 철저, 넘어짐 및 떨어짐에 대한 예방안전교육 실시, 추락방지 가시설 설치 및 안전교육 강화.",우천 후 좌대(철골 Beam) 미끄러운 상태에서 작업을 실시함.,떨어짐(2미터 이상 ~ 3미터 미만)
"안전장비 착용 의무화 및 정기적인 안전 교육 강화를 통해 재발 방지 대책을 마련합니다. 향후에는 작업 전 안전 점검을 의무화하고, 위험 요소에 대한 실시간 모니터링 시스템을 도입합니다.",유해위험 요인 사전 발굴 노력과 작업자 안전 관리 추가 교육 실시,닥트 절단 작업중 글라인더가 튐으로 인한 열상 발생,"절단, 베임"
자재정리 절차 엄격히 준수하고 정기적인 안전 점검 실시.,"거푸집 해체 작업 시 자재 정리 병행과 사전 위험성 평가서를 통한 위험 요소 공유, 그리고 향후 위험성 평가 실시 및 사고 유형 안전 교육 시행.",자재정리 미흡으로 인한 낙하물 사고,물체에 맞음
"안전 교육 강화와 크레인 작업 시 안전 절차 준수 의무화를 통해 재발 방지하고, 사고 대응 훈련을 정기적으로 실시하여 신속한 응급 처치 체계 구축.",공사중지 및 안전진단 실시 예정인 재발 방지 대책과 향후 조치 계획.,크레인을 이용해 인양중이던 자재에 밀려 넘어져 출혈동반 의식을 잃고 병원 이송후 사망,부딪힘
안전 교육 강화와 현장 안전 점검 체계 개선을 통한 재발 방지 대책 수립.,작업자 안전관리 교육 및 현장 자재 관리 철저.,지하층 작업 중 적자상태인 유로폼을 내리다가 바닥에 있는 자재에 가슴 충격,물체에 맞음
"안전 교육 강화와 휴식 공간 확보, 정기적인 안전 점검 실시를 통해 재발 방지하고, 사고 발생 시 즉시 응급처치 후 산재 처리 절차를 이행합니다.",근로자 건강상태 확인 및 안전교육 실시.,근로자가 휴식 후 일어서던 중 넘어져 얼굴 다침,넘어짐(기타)
안전 교육 강화 및 작업 중 개인 공구 소지 금지 조치 시행.,현장 관리감독 철저에 대한 재발 방지 대책과 향후 조치 계획.,공구를 가지러 가는 도중 넘어짐,넘어짐(물체에 걸림)
"안전 교육 강화 및 작업 후 안전 점검 의무화를 통해 부주의를 방지하고, 이동 경로 안전 표시 및 경고 시스템 도입으로 사고 예방을 강화합니다.",안전교육 철저와 근로자 안전의식 강화를 통한 안전한 이동통로 확보.,강관 그라우팅 작업 완료 후 이동 중 부주의,넘어짐(미끄러짐)
작업 전 철저한 안전 교육 실시 및 해체 순서 엄격히 준수하도록 관리 강화.,근로자에게 해체 작업순서 및 안전교육 실시.,2023년 09월 09일 오후 14시 30분 경 알폼작업자가 105동 14F에서 벽체알폼 해체 중 옆으로 넘어가는 알폼을 막으려다 왼쪽 손목 부상(해체 작업순서를 헷갈려서 사고가 발생된  것 추정 됨),부딪힘
자재 보관 규정 강화 및 안전 교육 실시를 통한 재발 방지 대책 및 향후 조치 계획 수립.,"각종 자재의 존지요령, 보관방법 교육 및 현장 정리정돈 실시.",지하3층 단부 안전난간대에 기대어 존치 되어있던 코팅합판재가 굴착기 작업 진동에 미끄러지며 지하4층으로 낙하하여 바닥에 1차 충돌 후 2차로 재해자 우측 등 부위와 우측 허벅지 부위를 충격. 부적절한 자재 보관이 사고원인임.,물체에 맞음
"작업 전 믹서기 내부 상태 점검 강화 및 안전 교육을 통해 작업자 인식 제고, 로프 관리 시스템 개선으로 재발 방지 대책 마련.",현장 근로자 안전수칙 준수 철저 교육 실시와 공사관계자에 대한 안전사고 예방교육 및 현장관리 철저.,믹서기통 내부에 통운반로프가 걸려있는상태에서 콘크리트 믹서기를 가동하여 믹서기 날에 로프가 감기며 오른손 엄지손가락에 충격이 가해짐,기타
"안전 교육 강화 및 덕트 운반 시 안전 장비 사용 의무화를 통해 재발 방지 대책을 마련하고, 정기적인 안전 점검과 위험 요소 식별 시스템 구축을 향후 조치 계획으로 삼겠습니다.","향후 철거작업은 2인 1조 및 3인 1조로 편성하여 안전사고를 대비하고, 하중 작업 시 지지대를 거치하여 작업자가 하중을 지지하지 않도록 하는 대책.",철거 작업 도중 덕트 운반 중 미끄러져 넘어짐,넘어짐(미끄러짐)
안전장비 착용 강제화 및 작업 절차 개선 교육 실시로 재발 방지.,작업자 안전교육 및 관리 철저에 대한 재발 방지 대책과 향후 조치 계획.,메모도 작업 중 (망치질) 못이 튐,물체에 맞음
안전 교육 강화 및 안정적인 작업 자세 준수 지침 마련.,"작업자 특별안전교육 시행과 시공사의 재발 방지 대책 수립 및 이행, 작업 전 안전교육과 작업 중 관리 감독 강화.",철거자재(휀스 기둥)을 옮기던 중 불안정한 자세로 작업,기타
안전 교육 강화와 정기적인 안전 점검 실시를 통해 작업 중 안전장비 착용 의무화 및 비계 안전 관리 강화.,현장 작업자 안전교육 철저 실시.,천장 단열재 설치작업 중 틀비계 상단에서 넘어져 옆구리를 부딪쳐 갈비뼈 골절,넘어짐(기타)
"안전 발판 설치와 정기적인 안전 교육 실시를 통해 작업자의 주의력을 높이고 미끄러짐 위험을 최소화하며, 작업 절차 개선을 통해 안전한 운반 방법을 확립합니다.","재해 발생 예방을 위한 충분한 휴식시간 제공, 안전지도 실시, 안전교육 실시 및 안전수칙 숙지 후 작업 진행을 통한 사고 원인 제거.",석고보드를 운반하는 중 계단을 오르다가 뒤로 넘어짐,넘어짐(미끄러짐)
작업장 바닥 개구부에 안전덮개 설치 의무화 및 정기적인 안전 점검 실시를 통해 인지 부족으로 인한 추락 사고 재발 방지 요청.,현장 자재 정리 및 개구부 특별 관리와 교육 강화를 통한 부상 방지 대책과 산재 처리 진행.,거푸집 해체 및 정리 작업 중 바닥개구부 덮개까지 해체 하여 개구부를 인지하지 못하고 작업 중 추락,떨어짐(분류불능)
"작업 전 지반 상태 철저히 점검하고 아웃트리거 확장 의무화하며, 말비계 사용 지침 준수 교육 강화하고 안전고리 체결 의무화 규정 엄격히 시행합니다. 정기적인 안전 점검 실시와 함께 위반 시 즉각적인 제재 조치를 도입합니다.","개구부, 추락 및 전도 위험 구간 식별 조치 관리, 철치말비계 아웃트리거 설치, 고소 작업자 안전고리 체결, 근로자 특별 안전교육 실시 및 TBM/정기교육 시 사고사례 전파의 실행.","말비계 설치전 지반상태 미확인, 말비계 아웃트리거 미확장, 말비계 사용기준 미준수, 안전고리 미체결",떨어짐(2미터 미만)
작업자에게 정기적인 안전 교육 실시 및 개인 보호 장비 착용 의무화 강화.,작업자 근무 시 재발 방지 교육 실시와 병원 치료 후 요양 가료.,작업자의 단순과실,"절단, 베임"
작업 구역 내 선박 이동 제한 조치와 실시간 모니터링 시스템 도입을 통한 재발 방지 대책을 마련합니다. 또한 정기적인 안전 점검과 작업자 교육 강화를 통해 안전성을 향상시킵니다.,신호수 배치와 작업선박 고정을 철저히 하여 대형선박 통항에 따른 공사 영향과 주변 영항을 최소화하는 대책.,작업장비 주변 대형 선박이동에 따른 파랑으로 인한 작업바지선 유동으로 사고 발생,끼임
"안전 통로 확보와 정기적인 안전 교육 강화를 통해 재발 방지 대책을 마련하고, 향후에는 모든 작업자에게 개인 보호 장비 착용 의무화를 실시합니다.",작업자 안전의식 고취 교육 및 관리감독 강화를 통한 안전 만전 기하기.,단관파이프 연결중 파이프에 손가락 끼임,끼임
안전교육 강화와 작업 절차 엄격히 준수하도록 관리감독 강화 예정.,작업안전교육에서 해당 사례를 설명하여 재발 방지를 위한 안전사고 교육 철저.,벽체거푸집 절단 작업 중 핸드그라인더 작업 중 작업자 부주의로 왼쪽 손가락 자상,"절단, 베임"
안전 교육 강화 및 작업 절차 재검토를 통해 레버블럭 사용 시 안전 장치 도입 및 정기적인 안전 점검 실시.,신호 체계 확립과 협착 방지 장갑 착용을 포함한 재발 방지 대책 및 향후 조치 계획.,"2020년 6월 22일 16시 30분 경 배관 설치 작업 중 레버블럭으로 배관을 당기던 와중에 배관 끝부분이 랙을 이탈하면서 배관이 떨어지면서, 파이프랙과 배관 사이에 손가락 협착 사고가 발생, 사고 직후 이천 바른병원으로 후송하여 진료 결과 원위지골절의 골절이 확인 됨",끼임
작업 공간 확대 및 안전 구역 설정 강화.,"안전성 확보를 위한 신호수 배치, 장비 사각지대 해소, 안전장비 강화와 함께 인력 및 장비의 동시작업 최소화, 내국인 관리자 작업반 배치, 공사관계자 안전교육 및 외부 지도점검 실시를 통한 항구적 재발대책 마련과 안전교육 실시.",협소한 공간내에서 작업자와 장비 동시작업,깔림
작업 전 횡대핀 체결 상태 점검 의무화 및 확인 절차 강화.,시스템 동바리 해체 작업과 동바리 횡대 체결상태 점검 시 위험요소에 대한 근로자 안전 교육 실시와 작업 전 점검 및 이상여부 확인.,시스템동바리 해체작업 시 횡대핀 체결 유무 미확인,넘어짐(기타)
